[2025-11-04 03:12:53] ===== Скрипт запущен =====
[2025-11-06 17:00:19] ===== Скрипт запущен =====
[2025-11-06 17:03:32] ===== Скрипт запущен =====
[2025-11-06 14:05:56] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:57] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:05:59] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:06:00] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:06:02] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:06:03] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:06:05] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:06:06] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:06:08] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:06:09] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:06:11] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:06:12] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:06:14] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:06:15] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:06:17] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:06:18] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:06:20] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
